title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
C36（含赠品）Mastina White Mastic Glow Tone-up Sun Cream SPF 50+ PA++++ Hybrid Physical and Chemical Sunscreen,3支装 + 赠品,36,https://cf.shopee.vn/file/vn-11134207-81ztc-mlgjymcyfj0hdb,http://shopee.vn/product/1160010827/42529059705,Skincare,Face Sunscreen,IVCN202604031298,385610615751,https://detail.1688.com/offer/716297212686.html?spm=a26352.13672862.offerlist.4.3d2554b8tOtzXk&offerId=716297212686&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=5981324258207&trace_log=normal&uuid=1d8bc1a38e354d02b58febd0a1c462b0&forcePC=1767515490479,1688链接,04-07发布,42529059705,154.93,四月热招,1
热龙血霜！欧美琳视黄醇胎盘皇家保湿亮肤天然精华抗衰老,2个,4,https://cf.shopee.com.br/file/sg-11134201-7rfi0-m9qri60x67a183,http://shopee.com.br/product/1478672697/41050804578,Skincare,Facial Moisturizer,IVCN202604031300,280064133612,https://detail.1688.com/offer/646021674271.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688链接,04-07发布,41050804578,31,四月热招,1
Oh!Oh! 每日烟酰胺高级修护精华液 30ml（正品）| Oh!Oh! 23% 烟酰胺控油亮肤精华液,正装 30 毫升,13.64,https://cf.shopee.vn/file/vn-11134207-820l4-mjqrezozi77lf6,http://shopee.vn/product/134203403/29394074265,Skincare,Facial Serum & Essence,IVCN202604011878,315462262581,https://detail.1688.com/offer/1015324874552.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i15&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,29394074265,102.36,四月热招,1
LUXE SLIM 豪华屏幕硅胶防晒凝胶 SPF30 不油腻 不泛白 Marian Rivera Luxeslim,LUXE SLIM 豪华屏幕硅胶防晒凝胶 SPF30 不油腻 不泛白 Marian Rivera Luxeslim,7.42,https://cf.shopee.ph/file/ph-11134207-7rase-m6p8dmr5mfpnd3,http://shopee.ph/product/756664082/28827567564,Skincare,Face Sunscreen,IVCN202604031302,237426790507,https://detail.1688.com/offer/895210172914.html?spm=a26352.13672862.offerlist.4.4ed554b8OI5wfF&offerId=895210172914&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6017229637192&trace_log=normal&uuid=42bb51c4bd0e4b74905bd2ab231147a5&forcePC=1774610219113,1688链接,04-07发布,28827567564,41.75,四月热招,1
美国农业部有机认证纯有机荷荷巴油（金黄色和透明荷荷巴油）,100毫升，金色,29.9,https://cf.shopee.vn/file/vn-11134207-7ra0g-m9o1dhmugj0k39,http://shopee.vn/product/21714037/1386268464,Skincare,Facial Oil,IVCN202603270958,276879855497,https://detail.1688.com/offer/707173937303.html?spm=a26352.13672862.offerlist.4.553d1e621O9Kmh&offerId=707173937303&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=5931592194125&trace_log=normal&uuid=3b98f67d74584b32a062f5b34ed48e78&forcePC=1774861807260,1688链接,04-07发布,1386268464,29.9,四月热招,1
Oh!oh! 烟酰胺 23% 日常 Nia23 高级修护精华液 30ml - 强效淡斑亮肤精华液 | Cay Rom Cosmetics,30毫升,15,https://cf.shopee.vn/file/vn-11134207-820l4-mioayigli6tif9,http://shopee.vn/product/633912927/47603701198,Skincare,Facial Serum & Essence,IVCN202604011880,440458849150,https://detail.1688.com/offer/809357061943.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,47603701198,92.46,四月热招,1
Martiderm DSP 美白晚霜（针对色素沉着）40ml - 护肤村,Martiderm DSP 美白晚霜（针对色素沉着）40ml - 护肤村,2.2,https://cf.shopee.vn/file/sg-11134201-7rdvj-m0kp0bhskthqef,http://shopee.vn/product/1075216293/26912287392,Skincare,Facial Moisturizer,IVCN202604011884,157477383156,https://detail.1688.com/offer/731749962299.html?spm=a26352.13672862.offerlist.20.e6256524Meh0EF&cosite=-&tracelog=p4p&_p_isad=1&clickid=e7c70c4cd71a43a8ae7982abc2c23c2e&sessionid=7b8f3252deee4eee8cb0a19e469f32f1,1688链接,04-07发布,26912287392,26.05,四月热招,1
Chronos Derma Natura 抗衰老系列 常规款 30+ 45+ 60+ 70+ 80+ 日夜装 新品上市,60+ 晚,18,https://cf.shopee.com.br/file/sg-11134201-821dz-mgi99z8sm8ej89,http://shopee.com.br/product/1049427916/23299129665,Skincare,Facial Moisturizer,IVCN202604011888,139836641056,https://detail.1688.com/offer/1029320864802.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,23299129665,35.29,四月热招,2
PDRN护肤抗皱均匀肤色精华液 30ml 智能GR,PDRN护肤抗皱均匀肤色精华液 30ml 智能GR,12,https://cf.shopee.com.br/file/br-11134207-7r98o-m47zwfj9d07570,http://shopee.com.br/product/399777323/22993596818,Skincare,Facial Serum & Essence,IVCN202604011892,219602108762,https://detail.1688.com/offer/865033173409.html?spm=a26352.13672862.offerlist.50.16421e628dIxfO&cosite=-&tracelog=p4p&_p_isad=1&clickid=9144da3022c845f0a8fe8e507999715b&sessionid=8823454bd9586dbe5f4a673599a75a22,1688链接,04-07发布,22993596818,102.79,四月热招,1
SPF70 PA+++ 面部专用润色防晒霜 | 矿物精华提亮肤色轻盈防晒霜,买一送一,13.61,https://cf.shopee.ph/file/ph-11134207-81ztp-mks7sz9m0ao681,http://shopee.ph/product/169635419/27624581756,Skincare,Face Sunscreen,IVCN202604011896,385129637809,https://detail.1688.com/offer/964571849601.html?spm=a26352.13672862.offerlist.1.3d7d7f30SOBRHg&cosite=-&tracelog=p4p&_p_isad=1&clickid=eaceb3285c59455dabee04ff369b4e11&sessionid=1cf154a719be5e4f480881007b87aeff,1688链接,04-07发布,27624581756,13.61,四月热招,1
Althea 345舒缓霜是一款纯素亮肤、保湿、舒缓面霜，有助于修复和滋养肌肤。规格为50毫升瓶装。,乳霜 345 50毫升,6.93,https://cf.shopee.vn/file/vn-11134207-81ztc-mklrmrmr3w1ud0,http://shopee.vn/product/1689101942/50155146174,Skincare,Facial Moisturizer,IVCN202604031306,425553238971,https://detail.1688.com/offer/965636663234.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,50155146174,47.72,四月热招,1
（新版本 - 免费赠送 BNBG 面膜）Dermarium 全效 B3 精华液：解决所有皮肤问题的全效方案。,30毫升,4.5,https://cf.shopee.vn/file/vn-11134207-7ras8-m1jl1k8i2vyr73,http://shopee.vn/product/3690268/45503670519,Skincare,Facial Serum & Essence,IVCN202604011902,420347765191,https://detail.1688.com/offer/998245839734.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf89a7417739128622215332e102c&token=K7xLFgyMhCnFYkTgpoDygtlE4oAzDcSz0QkPFu%2FDZ9RGZJ%2BGsHwzw18VrSYneZlU,1688链接,04-07发布,45503670519,110.04,四月热招,1
Wellderma 1000 蜂胶精华液 50ml - 韩国，令肌肤容光焕发、紧致饱满。,Wellderma 1000 蜂胶精华液 50ml - 韩国，令肌肤容光焕发、紧致饱满。,9.56,https://cf.shopee.vn/file/sg-11134201-821gf-mh8qbu6xf6kvc4,http://shopee.vn/product/1409756284/57951705600,Skincare,Facial Serum & Essence,IVCN202604011906,320156630984,https://detail.1688.com/offer/1014381494503.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i7&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,57951705600,9.56,四月热招,1
Kisset Beauty 干细胞再生及肌肤焕活精华液 30毫升,Kisset Beauty 干细胞再生及肌肤焕活精华液 30毫升,7,https://cf.shopee.vn/file/vn-11134207-7ra0g-m823sayqft666d,http://shopee.vn/product/111937698/29081611909,Skincare,Facial Serum & Essence,IVCN202604011908,205942151351,https://detail.1688.com/offer/963004682533.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b5681be17737145298054153e0e8a&token=%2BljXf1qa%2BbEHSE3UlCM6yIoJJlXyD23dEvHasBA8Idrh2mV%2FT7GOopuCZ36eI8aY,1688链接,04-07发布,29081611909,160.72,四月热招,1
妮维雅二合一防晒霜 SPF 70 抗衰老 干爽触感 日常使用 40毫升,2个保护者,30.52,https://cf.shopee.com.br/file/br-11134207-81ztc-mk3djim8z4zn78,http://shopee.com.br/product/856209418/58254342423,Skincare,Face Sunscreen,IVCN202604031308,238800342921,https://detail.1688.com/offer/796265348858.html?spm=a26352.13672862.offerlist.14.447d1e62mviCrM&offerId=796265348858&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=93327f7d14cb4e1390090f327cc74c4b&skuId=5598883146958&forcePC=1774511841934,1688链接,04-07发布,58254342423,30.53,四月热招,1
ROUND LAB 桦树汁保湿提亮防晒霜 50毫升/1.69液盎司，不泛白，强效防晒，保湿精华质地，海洋友好型-珊瑚礁安全,50毫升,8.8,https://cf.shopee.ph/file/sg-11134207-8226i-mhsshgu2iosh9c,http://shopee.ph/product/920292983/20076539428,Skincare,Face Sunscreen,IVCN202604031310,335243501006,https://detail.1688.com/offer/1033909893285.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i8&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,20076539428,40.38,四月热招,1
Sesderma Azelac Ru 祛斑脂质体精华液 30ml - 美白淡斑精华液（国产产品）,Sesderma Azelac Ru 祛斑脂质体精华液 30ml - 美白淡斑精华液（国产产品）,10.5,https://cf.shopee.vn/file/vn-11134207-7ras8-m5mnvmj4frib70,http://shopee.vn/product/1321860983/26724807768,Skincare,Facial Serum & Essence,IVCN202604011912,257564867735,https://detail.1688.com/offer/961839209879.html?lang=zh&kjSource=pc&fromkv=refer%3AHVDFOR2TGRCFGTSGKJLUWVCDKFGDINCUJVGUUWKHJU2FIRKNIJNEQQJTKRJVQM2NJ5BEMV2LGZGFQTRVLJDUSVJTIZGUMWSHI4ZEGN2HIUZVIT2NLJMUORJUIRAU4USTJBATGRCLLAZTGUCVHU6T2PJ5JU111111&bizType=saasTool&customerId=alipriceLP,1688链接,04-07发布,26724807768,130.66,四月热招,1
9TIDO 防晒护肤霜 30克 [保证正品],9TIDO 防晒护肤霜 30克 [保证正品],4.98,https://cf.shopee.vn/file/vn-11134207-7ras8-m1r0hq7co0gj04,http://shopee.vn/product/274134835/20738110062,Skincare,Face Sunscreen,IVCN202604011916,181944506897,https://detail.1688.com/offer/844739623840.html?spm=a26352.13672862.offerlist.44.104f78d645J4ct&cosite=-&tracelog=p4p&_p_isad=1&clickid=b5d30c95fa64490d965b8aa0cb9e29e4&sessionid=33df9c7810c9d16f103a97369c9a8c5e,1688链接,04-07发布,20738110062,38.63,四月热招,1
（正装）PLC 10% 20% 烟酰胺毛孔细致亮肤精华液 20ml,尼亚 20% | 有效期至 2028 年，美国进口,8,https://cf.shopee.vn/file/vn-11134207-81ztc-mkqssjwj8xs2a1,http://shopee.vn/product/26022801/17340081903,Skincare,Facial Serum & Essence,IVCN202604011922,277410391781,https://detail.1688.com/offer/755963358750.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688链接,04-07发布,17340081903,141.39,四月热招,1
Skinfinity 防晒霜 SPF 50 PA+++ 60毫升,Skinfinity 防晒霜 SPF 50 PA+++ 60毫升,14.4,https://cf.shopee.com.my/file/240b988149971a2318a8a3e60a77e23c,http://shopee.com.my/product/61327339/5632728401,Skincare,Face Sunscreen,IVCN202604011926,50084879809,https://detail.1688.com/offer/921773444824.html?spm=a26352.13672862.offerlist.9.1d7b1e62Mw0Xpg&offerId=921773444824&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=e467a7a76ce24d759c967a54be959c2b&skuId=5961651490768&forcePC=1773715039636,1688链接,04-07发布,5632728401,81.85,四月热招,1
大腿防摩擦棒 23克 | 适用于跑步和日常防摩擦,大腿防摩擦棒 23克 | 适用于跑步和日常防摩擦,6,https://cf.shopee.com.br/file/br-11134207-81ztc-mjqx7dh6ozk656,http://shopee.com.br/product/547491154/22699323465,Skincare,Others,IVCN202603270986,169724273016,https://detail.1688.com/offer/801777809571.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,22699323465,17.24,四月热招,1
So Natural 红皮焕肤精华液 11ml - 生物焕肤精华液,#白色 35毫升,2.8,https://cf.shopee.vn/file/vn-11134207-7ra0g-m8lg2ofmq4jme7,http://shopee.vn/product/614895096/29233473890,Skincare,Face Scrub & Peel,IVCN202604031312,243184856210,https://detail.1688.com/offer/745052112887.html?spm=a26352.13672862.offerlist.4.13ee77c5rl75je&offerId=745052112887&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=0baebb697b7a4159b9e34f4acf54a8cc&skuId=5137994160667&forcePC=1774610037905,1688链接,04-07发布,29233473890,41.1,四月热招,1
Gin 焕彩精华液 30毫升,Gin 焕彩精华液 30毫升,8.5,https://cf.shopee.ph/file/ph-11134207-81zte-mkb3zjfkxjb8f6,http://shopee.ph/product/1597539219/53955817619,Skincare,Facial Serum & Essence,IVCN202604011932,390526571661,https://detail.1688.com/offer/622441470623.html?spm=a26352.13672862.offerlist.125.4fa71e62KjnWSa&offerId=622441470623&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=c8c3403454354892b64a27ba22ce3fd6&skuId=4816401583339&forcePC=1773906083316,1688链接,04-07发布,53955817619,13.56,四月热招,1
（正品）KIM PHUC SAC 亮肤精华液，新版（棕色）30毫升,（正品）KIM PHUC SAC 亮肤精华液，新版（棕色）30毫升,10,https://cf.shopee.vn/file/vn-11134207-820l4-mjhvz0yvl2pue3,http://shopee.vn/product/1144602946/50904694211,Skincare,Facial Serum & Essence,IVCN202604011936,425436026513,https://detail.1688.com/offer/862353196269.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.30124514.offerlist.i7&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,50904694211,129.48,四月热招,1
ANUA 烟酰胺 10% TXA 4% 黑斑校正精华液,完整 30ml_TXA 3,9,https://cf.shopee.vn/file/vn-11134207-7ras8-mbfqag22qn47e9,http://shopee.vn/product/7962964/25977798141,Skincare,Facial Serum & Essence,IVCN202604011940,265514277133,https://detail.1688.com/offer/1009295389227.html?spm=a26352.b28411319/2508.0.0,1688链接,04-07发布,25977798141,50.44,四月热招,1
La Bonita Vita A 视黄醇精华乳霜 30ml LYO - 抗衰老紧致霜,La Bonita Vita A 视黄醇精华乳霜 30ml LYO - 抗衰老紧致霜,7,https://cf.shopee.vn/file/sg-11134201-821e0-mgxdxrsiuo7f2d,http://shopee.vn/product/33539570/48001183145,Skincare,Facial Moisturizer,IVCN202604031314,440105412466,https://detail.1688.com/offer/1024911954244.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,48001183145,31.14,四月热招,1
【新品】Derladie 纯素粉红泥面膜 60g 韩国洁肤面膜,#SIZE BÉ 60克,5.1,https://cf.shopee.vn/file/vn-11134207-820l4-meco5y96o1l1d6,http://shopee.vn/product/1620392787/26991235559,Skincare,Face Mask & Packs,IVCN202604011946,129442809548,https://detail.1688.com/offer/626584503970.html?spm=a26352.13672862.offerlist.19.36fe305aIzRvjO&offerId=626584503970&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=b5fe365925e14abda72d7db0e5734ff4&skuId=4611708527600&forcePC=1774493938519,1688链接,04-07发布,26991235559,23.46,四月热招,1
【正品】PHARMAFORM RETIN 5:9 新一代视黄醇乳霜，全面焕肤，辅助填充疤痕,组合2,3.73,https://cf.shopee.vn/file/vn-11134207-820l4-mg7hd69kmk9688,http://shopee.vn/product/1413568517/27743430549,Skincare,Facial Moisturizer,IVCN202604031316,292086721575,https://detail.1688.com/offer/850106707168.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2154647417748557254666100e0fdc&token=VfwgzB00HacWw3Abo91VGWf1%2F3LKycfynXmPXvZzK3QuytepYYLWyrax8XszsnCC,1688链接,04-07发布,27743430549,103.95,四月热招,1
Celimax 毛孔细致淡斑霜 35ml | 蕴含烟酰胺和氨甲环酸，适合敏感肌肤,2个,14,https://cf.shopee.com.br/file/sg-11134201-82283-mhqankitmubofa,http://shopee.com.br/product/1343146683/45952427232,Skincare,Facial Moisturizer,IVCN202604031318,410233489925,https://detail.1688.com/offer/975439995200.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf89a7417748640220117137e0f87&token=kV2f%2FZeDR%2BF%2FMhajRfogLg1LVFcI9wuuQvdGyIUwgg0JRQHCx7PwSO%2BTl5l2AI1Z,1688链接,04-07发布,45952427232,60.76,四月热招,1
5盒装ISKIN NATURAL BEAUTY胶原蛋白青春安瓶30ml组合装 - 美白、淡斑、保湿、焕肤精华液,5盒装ISKIN NATURAL BEAUTY胶原蛋白青春安瓶30ml组合装 - 美白、淡斑、保湿、焕肤精华液,25,https://cf.shopee.vn/file/vn-11134207-7ra0g-m9wj1dmri32y64,http://shopee.vn/product/264550025/19039712462,Skincare,Facial Serum & Essence,IVCN202604011948,176342342011,https://detail.1688.com/offer/985828189282.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b51056217739944472464097e0e65&token=669XSerEW3pLukBqdMdwAXoZZ%2BduyFr9V9gpfMr2DC8v3ZxhViqXsGqijo95GB02,1688链接,04-07发布,19039712462,160.6,四月热招,1
Elixirlab MelaCare 亮白霜 50ml - 淡化色斑，提亮肤色,Elixirlab MelaCare 亮白霜 50ml - 淡化色斑，提亮肤色,7.66,https://cf.shopee.vn/file/vn-11134207-7ra0g-m8zkn4y52z5uae,http://shopee.vn/product/50064262/13399835523,Skincare,Facial Moisturizer,IVCN202604031320,232117406835,https://detail.1688.com/offer/959618940943.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,13399835523,60.34,四月热招,1
AN/UA 烟酰胺 10% + TXA 3% 血清 / PDRN 透明质酸胶囊 100 粒血清 |亮泽系列,10岁以上,5.5,https://cf.shopee.com.my/file/cn-11134207-820l4-mkhxaywumj2ddb,http://shopee.com.my/product/1327104196/45956020427,Skincare,Facial Serum & Essence,IVCN202604011954,345544176455,https://detail.1688.com/offer/1000940132317.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2132815517739123650114425e0f48&token=pUV8RHebSYwQtbUiFHEtA3cGOaKYaYrnLXuhdHYnjbMzzMdD%2BYn99J5nLu5xmgaM,1688链接,04-07发布,45956020427,23.01,四月热招,1
（公司产品）Cosnori 美白提亮霜 50ml,满盒,7,https://cf.shopee.vn/file/vn-11134207-7ra0g-m84mgoktn4hab5,http://shopee.vn/product/30254035/24493487836,Skincare,Facial Moisturizer,IVCN202604031322,292265320596,https://detail.1688.com/offer/983415232141.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0b52090217748670926231166e0ebf&token=yNKlN6pDXjXbQzEFs2IKg2K91%2BTvtlOuD6GK9e%2B2uxoj76xiT3cWkE0GKBVwVsgi&tracelog=cps&clickid=f81dfff1a94c8525ccdc0fc383a30f22&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B1019B43C277336E20A095B7353FE3E172390EB48EAD3D36A83F7B311E10CE2E23348394BC3CC3C62B9992F8828C4BE8922E9FC503FB04369D7B2481B9419B4E82196B506E9E3F88A6CAF8423BA869F71D22E12D7C0655BF4F2A408C402DEBFC4D608AD987E31A2BCEE252A860C12565AF7881F3EE697CE7497C14C98189143A4043C2BAFC82E7BACA%26cbu_cps_trace_flag%3Dwrite,1688链接,04-07发布,24493487836,25.77,四月热招,1
